THE,6.92E+10,3.30E-02
AND,2.65E+10,1.26E-02
ING,2.13E+10,1.02E-02
ION,2.04E+10,9.72E-03
TIO,1.68E+10,8.01E-03
ENT,1.55E+10,7.39E-03
ATI,1.18E+10,5.62E-03
FOR,1.14E+10,5.43E-03
HER,1.09E+10,5.20E-03
TER,1.03E+10,4.91E-03
HAT,9.60E+09,4.58E-03
THA,9.45E+09,4.50E-03
ERE,8.94E+09,4.26E-03
ATE,8.76E+09,4.18E-03
HIS,8.07E+09,3.85E-03
CON,8.07E+09,3.85E-03
RES,7.50E+09,3.57E-03
VER,7.42E+09,3.54E-03
ALL,7.32E+09,3.49E-03
ONS,7.19E+09,3.43E-03
NCE,6.94E+09,3.31E-03
MEN,6.89E+09,3.28E-03
ITH,6.80E+09,3.24E-03
TED,6.61E+09,3.15E-03
ERS,6.52E+09,3.11E-03
PRO,6.44E+09,3.07E-03
THI,6.36E+09,3.03E-03
WIT,6.27E+09,2.99E-03
ARE,6.05E+09,2.88E-03
ESS,5.96E+09,2.84E-03
NOT,5.87E+09,2.80E-03
IVE,5.74E+09,2.74E-03
WAS,5.72E+09,2.73E-03
ECT,5.63E+09,2.68E-03
REA,5.61E+09,2.67E-03
COM,5.51E+09,2.63E-03
EVE,5.37E+09,2.56E-03
PER,5.34E+09,2.55E-03
INT,5.27E+09,2.51E-03
EST,5.09E+09,2.43E-03
STA,5.00E+09,2.38E-03
CTI,4.97E+09,2.37E-03
ICA,4.85E+09,2.31E-03
IST,4.70E+09,2.24E-03
EAR,4.57E+09,2.18E-03
AIN,4.51E+09,2.15E-03
ONE,4.43E+09,2.11E-03
OUR,4.41E+09,2.10E-03
ITI,4.41E+09,2.10E-03
RAT,4.34E+09,2.07E-03
NTE,4.33E+09,2.06E-03
TIN,4.31E+09,2.05E-03
INE,4.29E+09,2.04E-03
DER,4.27E+09,2.04E-03
OME,4.22E+09,2.01E-03
MAN,4.17E+09,1.99E-03
PRE,4.17E+09,1.99E-03
ROM,4.12E+09,1.96E-03
TRA,4.10E+09,1.95E-03
WHI,4.06E+09,1.94E-03
AVE,4.05E+09,1.93E-03
STR,4.00E+09,1.91E-03
ACT,4.00E+09,1.91E-03
ILL,4.00E+09,1.91E-03
URE,3.94E+09,1.88E-03
IDE,3.92E+09,1.87E-03
OVE,3.92E+09,1.87E-03
CAL,3.91E+09,1.86E-03
BLE,3.87E+09,1.84E-03
OUT,3.86E+09,1.84E-03
STI,3.84E+09,1.83E-03
TIC,3.83E+09,1.83E-03
OUN,3.82E+09,1.82E-03
ENC,3.80E+09,1.81E-03
ORE,3.80E+09,1.81E-03
ANT,3.76E+09,1.79E-03
ITY,3.74E+09,1.78E-03
FRO,3.73E+09,1.78E-03
ART,3.73E+09,1.78E-03
TUR,3.72E+09,1.77E-03
PAR,3.69E+09,1.76E-03
RED,3.67E+09,1.75E-03
OTH,3.66E+09,1.74E-03
ERI,3.63E+09,1.73E-03
HIC,3.62E+09,1.73E-03
IES,3.61E+09,1.72E-03
STE,3.59E+09,1.71E-03
GHT,3.59E+09,1.71E-03
ICH,3.58E+09,1.71E-03
IGH,3.55E+09,1.69E-03
UND,3.54E+09,1.69E-03
YOU,3.53E+09,1.68E-03
ORT,3.53E+09,1.68E-03
ERA,3.47E+09,1.65E-03
WER,3.45E+09,1.64E-03
NTI,3.45E+09,1.64E-03
OUL,3.39E+09,1.62E-03
NDE,3.37E+09,1.61E-03
IND,3.37E+09,1.61E-03
THO,3.37E+09,1.61E-03
HOU,3.34E+09,1.59E-03
NAL,3.33E+09,1.59E-03
BUT,3.29E+09,1.57E-03
HAV,3.27E+09,1.56E-03
ULD,3.26E+09,1.55E-03
USE,3.25E+09,1.55E-03
HAN,3.24E+09,1.54E-03
HIN,3.19E+09,1.52E-03
EEN,3.15E+09,1.50E-03
CES,3.15E+09,1.50E-03
COU,3.13E+09,1.49E-03
LAT,3.13E+09,1.49E-03
